,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
79,10.0,3.0,20.0,0.0,9.0,0.0,13.0,0.0,18.0,0.0,-1.0,0.0,0.0,0.0,11.0,-2.0,16.0,16.0,16.0,16.0,3.0,22.033333333333335,0.13333333333333375,14.033333333333335
80,10.0,3.0,20.0,3.0,6.0,0.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,10.4,9.1,11.7
81,10.0,3.0,20.0,0.0,3.0,0.0,18.0,0.0,9.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,-8.1,4.8500000000000005,7.15
82,10.0,3.0,20.0,8.0,0.0,0.0,0.0,9.0,11.0,13.0,-0.0,11.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,4.6,8.4,10.4
83,11.0,3.0,20.0,0.0,8.0,0.0,9.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,14.566666666666666,-4.483333333333333,9.816666666666666
84,10.0,4.0,20.0,0.0,4.0,0.0,11.0,13.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,9.033333333333333,10.883333333333333,11.783333333333333
85,9.0,4.0,20.0,2.0,0.0,0.0,13.0,0.0,9.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,9.233333333333334,11.433333333333334,11.933333333333334
86,9.0,4.0,20.0,6.0,0.0,0.0,0.0,9.0,9.0,40.0,0.0,11.0,0.0,0.0,4.0,0.0,16.0,16.0,16.0,16.0,0.0,-36.46666666666667,-14.366666666666667,-2.366666666666667
87,10.0,3.0,20.0,0.0,8.0,0.0,9.0,9.0,40.0,0.0,0.0,0.0,0.0,4.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,10.233333333333334,-5.566666666666666,8.733333333333334
88,12.0,3.0,20.0,0.0,5.0,0.0,9.0,40.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,20.5,11.75,14.25
89,11.0,3.0,20.0,0.0,2.0,0.0,40.0,0.0,0.0,7.0,0.0,4.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,10.933333333333334,9.733333333333334,11.933333333333334
90,11.0,3.0,20.0,29.0,1.0,0.0,0.0,0.0,7.0,0.0,-0.0,11.0,0.0,0.0,0.0,-2.0,16.0,16.0,16.0,16.0,2.0,22.766666666666666,15.566666666666666,16.666666666666664
91,10.0,4.0,19.0,19.0,7.0,0.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,11.0,-1.0,16.0,16.0,16.0,16.0,1.0,-6.5166666666666675,-6.316666666666667,6.133333333333333
